nombre;;identificacion;;edad;;embargado;;telefono
Juan Ortiz;;2011234567;;36;;true;;3016549876
Marta Gomez;;2012345678;;29;;false;;3108765432
Carlos Sanchez;;2013456789;;41;;true;;3201234567
Diana Fernandez;;2014567890;;35;;false;;3009876543
Luis Beltran;;2015678901;;53;;false;;3112345678
Ana Torres;;2016789012;;44;;true;;3124567890
Fernando Vega;;2017890123;;31;;false;;3136789012
Paola Diaz;;2018901234;;28;;true;;3148901234
Andres Castro;;2019012345;;45;;false;;3151234567
Gloria Ramirez;;2020123456;;50;;true;;3163456789
Santiago Garcia;;2021234567;;34;;false;;3175678901
Liliana Moreno;;2022345678;;33;;true;;3187890123
Ricardo Mendez;;2023456789;;29;;false;;3190123456
Patricia Munoz;;2024567890;;52;;true;;3202345678
Gabriel Castillo;;2025678901;;40;;false;;3214567890
Adriana Salazar;;2026789012;;39;;true;;3226789012
Miguel Cano;;2027890123;;47;;false;;3238901234
Laura Zapata;;2028901234;;38;;true;;3241234567
Jorge Jimenez;;2029012345;;31;;false;;3253456789
Carmen Rojas;;2030123456;;42;;true;;3265678901
Felipe Rivera;;2031234567;;48;;false;;3277890123
Angela Acosta;;2032345678;;27;;true;;3280123456
Esteban Paredes;;2033456789;;37;;false;;3292345678
Monica Diaz;;2034567890;;30;;true;;3304567890
Rodrigo Valencia;;2035678901;;54;;false;;3316789012
Paula Quiroz;;2036789012;;28;;true;;3328901234
Hector Robledo;;2037890123;;49;;false;;3331234567
Sandra Molina;;2038901234;;32;;true;;3343456789
Sebastian Cano;;2039012345;;55;;false;;3355678901
Veronica Duarte;;2040123456;;26;;true;;3367890123
Oscar Lopez;;2041234567;;44;;false;;3370123456
Silvia Rodriguez;;2042345678;;33;;true;;3382345678
Mauricio Gutierrez;;2043456789;;39;;false;;3394567890
Rosa Herrera;;2044567890;;45;;true;;3406789012
Diego Moreno;;2045678901;;34;;false;;3418901234
Lorena Romero;;2046789012;;28;;true;;3421234567
Jose Ramirez;;2047890123;;52;;false;;3433456789
Claudia Hernandez;;2048901234;;31;;true;;3445678901
Ivan Ortiz;;2049012345;;46;;false;;3457890123
Catalina Giraldo;;2050123456;;42;;true;;3460123456
Roberto Velasquez;;2051234567;;29;;false;;3472345678
Nathalia Cabrera;;2052345678;;37;;true;;3484567890
Javier Montoya;;2053456789;;50;;false;;3496789012
Marcela Ruiz;;2054567890;;34;;true;;3508901234
Samuel Castro;;2055678901;;41;;false;;3511234567
Teresa Arango;;2056789012;;33;;true;;3523456789
Alonso Lara;;2057890123;;55;;false;;3535678901
Violeta Vargas;;2058901234;;36;;true;;3547890123
Hernan Castaño;;2059012345;;30;;false;;3550123456
Tatiana Rios;;2060123456;;29;;true;;3562345678
Victor Aguilar;;2061234567;;40;;false;;3574567890
Camila Martinez;;2062345678;;39;;true;;3586789012
Rafael Franco;;2063456789;;50;;false;;3598901234
Luisa Bautista;;2064567890;;27;;true;;3601234567
Cristian Diaz;;2065678901;;32;;false;;3613456789
Gabriela Ruiz;;2066789012;;43;;true;;3625678901
Manuel Vega;;2067890123;;47;;false;;3637890123
Valentina Bonilla;;2068901234;;35;;true;;3640123456
Alfredo Torres;;2069012345;;49;;false;;3652345678
Julia Prieto;;2070123456;;30;;true;;3664567890
Eduardo Lopez;;2071234567;;36;;false;;3676789012
Lucrecia Moreno;;2072345678;;29;;true;;3688901234
Pedro Salazar;;2073456789;;54;;false;;3691234567
Beatriz Cardenas;;2074567890;;32;;true;;3703456789
Luis Montoya;;2075678901;;31;;false;;3715678901
Raquel Gallego;;2076789012;;40;;true;;3727890123
Cesar Mejia;;2077890123;;33;;false;;3730123456
Mariana Arias;;2078901234;;27;;true;;3742345678
Ricardo Murillo;;2079012345;;52;;false;;3754567890
Alicia Jaramillo;;2080123456;;42;;true;;3766789012
Gustavo Giraldo;;2081234567;;46;;false;;3778901234
Liliana Herrera;;2082345678;;39;;true;;3781234567
Felipe Ospina;;2083456789;;41;;false;;3793456789
