nombre;;identificacion;;edad;;embargado;;telefono
Juan Perez;;1001234567;;35;;false;;3216549870
Maria Ramirez;;1002345678;;42;;true;;3109876543
Carlos Gonzalez;;1003456789;;29;;false;;3001234567
Diana Lopez;;1004567890;;45;;true;;3208765432
Luis Martinez;;1005678901;;51;;false;;3012345678
Ana Giraldo;;1006789012;;30;;false;;3113456789
Fernando Castaño;;1007890123;;27;;true;;3124567890
Paola Muñoz;;1008901234;;39;;false;;3135678901
Andres Rodriguez;;1009012345;;34;;true;;3146789012
Gloria Quintero;;1010123456;;52;;false;;3157890123
Santiago Torres;;1011234567;;28;;true;;3168901234
Liliana Suarez;;1012345678;;41;;false;;3179012345
Ricardo Rios;;1013456789;;36;;false;;3180123456
Patricia Vargas;;1014567890;;38;;true;;3191234567
Gabriel Hernandez;;1015678901;;50;;false;;3202345678
Adriana Jimenez;;1016789012;;31;;false;;3213456789
Miguel Alvarez;;1017890123;;29;;true;;3224567890
Laura Medina;;1018901234;;47;;false;;3235678901
Jorge Salazar;;1019012345;;33;;true;;3246789012
Carmen Rivera;;1020123456;;55;;false;;3257890123
Felipe Orozco;;1021234567;;40;;true;;3268901234
Angela Vallejo;;1022345678;;37;;false;;3279012345
Esteban Leon;;1023456789;;48;;false;;3280123456
Monica Castillo;;1024567890;;32;;true;;3291234567
Rodrigo Herrera;;1025678901;;53;;false;;3302345678
Paula Campos;;1026789012;;39;;true;;3313456789
Hector Marquez;;1027890123;;45;;false;;3324567890
Sandra Avila;;1028901234;;28;;false;;3335678901
Sebastian Velasquez;;1029012345;;51;;true;;3346789012
Veronica Mora;;1030123456;;30;;false;;3357890123
Oscar Reyes;;1031234567;;42;;true;;3368901234
Silvia Perez;;1032345678;;26;;false;;3379012345
Mauricio Mejia;;1033456789;;33;;true;;3380123456
Rosa Franco;;1034567890;;49;;false;;3391234567
Diego Ortiz;;1035678901;;31;;true;;3402345678
Lorena Diaz;;1036789012;;34;;false;;3413456789
Jose Lozano;;1037890123;;46;;false;;3424567890
Claudia Acosta;;1038901234;;29;;true;;3435678901
Ivan Pineda;;1039012345;;50;;false;;3446789012
Catalina Ruiz;;1040123456;;36;;false;;3457890123
Roberto Gil;;1041234567;;47;;true;;3468901234
Nathalia Montoya;;1042345678;;25;;false;;3479012345
Javier Ceballos;;1043456789;;43;;true;;3480123456
Marcela Palacio;;1044567890;;41;;false;;3491234567
Samuel Cordoba;;1045678901;;32;;true;;3502345678
Teresa Carvajal;;1046789012;;37;;false;;3513456789
Alonso Bautista;;1047890123;;40;;true;;3524567890
Violeta Cano;;1048901234;;55;;false;;3535678901
Hernan Tovar;;1049012345;;34;;true;;3546789012
Tatiana Sanin;;1050123456;;28;;false;;3557890123
Victor Vargas;;1051234567;;45;;true;;3568901234
Camila Meneses;;1052345678;;38;;false;;3579012345
Rafael Duque;;1053456789;;53;;false;;3580123456
Luisa Serrano;;1054567890;;27;;true;;3591234567
Cristian Zamora;;1055678901;;31;;false;;3602345678
Gabriela Osorio;;1056789012;;39;;true;;3613456789
Manuel Hoyos;;1057890123;;42;;false;;3624567890
Valentina Estrada;;1058901234;;30;;true;;3635678901
Alfredo Arango;;1059012345;;50;;false;;3646789012
Julia Lara;;1060123456;;35;;false;;3657890123
Eduardo Becerra;;1061234567;;44;;true;;3668901234
Lucrecia Torres;;1062345678;;49;;false;;3679012345
Pedro Fuentes;;1063456789;;27;;true;;3680123456
Beatriz Aguilar;;1064567890;;52;;false;;3691234567
Luis Ramos;;1065678901;;30;;true;;3702345678
Raquel Morales;;1066789012;;38;;false;;3713456789
Cesar Montes;;1067890123;;47;;false;;3724567890
Mariana Alarcon;;1068901234;;33;;true;;3735678901
Ricardo Luna;;1069012345;;56;;false;;3746789012
Alicia Cordoba;;1070123456;;28;;true;;3757890123
Gustavo Vargas;;1071234567;;40;;false;;3768901234
Liliana Duque;;1072345678;;37;;false;;3779012345
Felipe Montoya;;1073456789;;32;;true;;3780123456
Ines Zapata;;1074567890;;44;;false;;3791234567
Jairo Aristizabal;;1075678901;;53;;false;;3802345678
Lorena Prada;;1076789012;;39;;true;;3813456789
Guillermo Medina;;1077890123;;29;;false;;3824567890
Sara Castillo;;1078901234;;31;;true;;3835678901
Fernando Perdomo;;1079012345;;35;;false;;3846789012
Julia Mena;;1080123456;;47;;false;;3857890123
Daniel Bedoya;;1081234567;;26;;true;;3868901234
Andrea Torres;;1082345678;;51;;false;;3879012345
Pablo Escobar;;1083456789;;30;;false;;3880123456
Emma Vargas;;1084567890;;29;;true;;3891234567
Oscar Giraldo;;1085678901;;40;;false;;3902345678
Rosaura Molina;;1086789012;;43;;true;;3913456789
Alejandro Cano;;1087890123;;48;;false;;3924567890
Jacqueline Arias;;1088901234;;33;;true;;3935678901
Leonardo Perez;;1089012345;;55;;false;;3946789012
