nombre;;identificacion;;edad;;embargado;;salario
Pedro Montoya;;2051018463;;55;;false;;3724068
Violeta Moreno;;2003478073;;39;;true;;7526855
Roberto Gomez;;2093533785;;36;;true;;3328318
Diana Salazar;;2050750256;;33;;true;;1444906
Hector Ramirez;;2025525747;;25;;true;;8719117
Fernando Sanchez;;2074709961;;60;;false;;8529987
Marta Ortiz;;2081967812;;53;;true;;3944876
Monica Ortiz;;2057319084;;41;;false;;7417489
Monica Munoz;;2005655952;;38;;true;;1731342
Ana Munoz;;2056281307;;33;;false;;2648713
Alfredo Mendez;;2055476329;;46;;false;;3916535
Gabriel Torres;;2064589871;;25;;true;;1771874
Cesar Martinez;;2027253628;;54;;true;;1816115
Veronica Torres;;2059659875;;35;;true;;9110197
Luisa Beltran;;2020125452;;46;;false;;8574478
Manuel Ortiz;;2031375206;;30;;false;;7636026
Rosa Bautista;;2005114654;;40;;true;;5535421
Sebastian Castro;;2007178420;;51;;false;;8349439
Hector Vargas;;2059962643;;32;;true;;9131791
Lorena Ruiz;;2076675729;;36;;false;;9959983
Gabriela Vargas;;2063050461;;54;;false;;921836
Paula Franco;;2078950232;;34;;true;;9434586
Sebastian Castro;;2028377310;;50;;true;;1973206
Marcela Montoya;;2061874839;;58;;false;;8028990
Liliana Robledo;;2062184163;;44;;false;;4953853
Luis Cano;;2007331263;;28;;false;;8009074
Marta Rojas;;2073409532;;44;;false;;1981253
Hernan Rodriguez;;2049749674;;34;;false;;9327699
Paula Salazar;;2026199895;;52;;false;;6819990
Gabriela Garcia;;2043164129;;55;;true;;9314669
Victor Rios;;2013641860;;52;;false;;6409378
Paola Ospina;;2014440115;;58;;false;;2128607
Gabriel Gutierrez;;2000470174;;46;;false;;4628351
Ana Herrera;;2065141843;;36;;true;;4802507
Roberto Cabrera;;2003807449;;59;;true;;6062914
Oscar Lopez;;2047933307;;35;;false;;7308424
Rodrigo Vega;;2056276260;;33;;false;;1905058
Nathalia Vega;;2095332720;;37;;false;;2720637
Esteban Cardenas;;2028286405;;55;;false;;7546351
Gustavo Jaramillo;;2080337766;;47;;true;;5301032
Miguel Bautista;;2031110752;;57;;false;;2200632
Monica Bonilla;;2075068732;;33;;true;;8178060
Diego Quiroz;;2096739709;;40;;true;;1446426
Sebastian Cabrera;;2034914138;;31;;false;;9877270
Mauricio Castillo;;2025139169;;27;;false;;7144716
Victor Mendez;;2029175762;;57;;false;;9921292
Marta Bonilla;;2042074166;;52;;true;;1467797
Ivan Castillo;;2034995634;;29;;false;;9685106
Rafael Ruiz;;2062348667;;55;;true;;7687168
Javier Cardenas;;2095654360;;26;;true;;7460758
Beatriz Torres;;2076807910;;29;;true;;8248181
Ivan Valencia;;2043990938;;29;;true;;5126451
Rodrigo Bautista;;2001525277;;34;;false;;8906198
Beatriz Franco;;2087363842;;37;;true;;2999876
Claudia Ramirez;;2069585843;;32;;true;;1289880
Laura Mendez;;2045641957;;53;;true;;1843617
Jose Cano;;2070389951;;54;;true;;2331727
Mariana Cano;;2066304139;;55;;true;;1712649
Carmen Ortiz;;2070622285;;26;;true;;6790948
Ivan Duarte;;2030081949;;58;;false;;3446061
Angela Cano;;2068149931;;35;;false;;3411022
Pedro Quiroz;;2031401516;;47;;true;;8619250
Ana Giraldo;;2022041788;;34;;true;;8898759
Miguel Moreno;;2013182778;;44;;false;;9207124
Oscar Duarte;;2068892253;;55;;false;;8192625
Alonso Rojas;;2070701880;;35;;false;;8626323
Gloria Ruiz;;2007264286;;50;;true;;9340377
Carlos Acosta;;2017711120;;35;;true;;3982426
Jose Beltran;;2028600838;;25;;false;;3505112
Liliana Herrera;;2041777956;;39;;false;;7052260
Catalina Rojas;;2034472401;;52;;false;;998723
Valentina Beltran;;2035768837;;31;;false;;3512739
Alicia Beltran;;2015172063;;31;;false;;2751184
Gloria Montoya;;2026711520;;27;;true;;4216095
Alonso Ospina;;2095377074;;45;;false;;6311274
Rodrigo Robledo;;2040285352;;51;;true;;5097351
Hector Cano;;2062764974;;60;;false;;9853024
Gustavo Gutierrez;;2081286117;;36;;false;;7780070
Luis Vargas;;2014135729;;30;;false;;5172654
Mariana Franco;;2028891217;;31;;true;;7479363
Laura Martinez;;2038568044;;35;;true;;2626665
Diana Munoz;;2011058454;;51;;false;;9380699
Teresa Giraldo;;2092349855;;52;;true;;1576181
Felipe Moreno;;2032605429;;53;;true;;5048789
Victor Beltran;;2007815185;;25;;true;;1729424
Hernan Torres;;2032183046;;50;;false;;3426301
Sandra Moreno;;2000602471;;44;;true;;4024257
Rodrigo Torres;;2058772956;;51;;false;;6170050
Rosa Rodriguez;;2004481734;;49;;false;;7823253
Fernando Mejia;;2062349779;;59;;true;;813610
Gabriela Castillo;;2064870355;;54;;true;;3532020
Carlos Cardenas;;2065438119;;31;;false;;4677214
Ricardo Lara;;2068845963;;48;;true;;5878629
Mariana Bautista;;2057325992;;41;;false;;9981833
Alonso Castro;;2077833882;;37;;false;;8931849
Rafael Vega;;2085321106;;34;;true;;4355508
Carlos Moreno;;2099167566;;60;;true;;1488666
Cesar Paredes;;2005837946;;60;;true;;7634340
Gabriela Giraldo;;2058816624;;27;;false;;4458361
Monica Diaz;;2083781476;;44;;true;;5634696
