tipo_documento;;documento;;nombre_completo;;caracterizacion
CC;;2073100296;;Eduardo Valencia;;INHABILITAR
CE;;2037599382;;Roberto Rios;;INHABILITAR
TI;;2058588048;;Monica Mendez;;INHABILITAR
NUIP;;2015046064;;Luis Ortiz;;INHABILITAR
TI;;2034379901;;Carlos Mendez;;EMBARGAR
CE;;2053883924;;Claudia Bonilla;;EMBARGAR
TI;;2037090936;;Felipe Munoz;;EMBARGAR
RC;;2055150849;;Catalina Lara;;EMBARGAR
TI;;2028374016;;Marta Duarte;;EMBARGAR
CE;;2022001216;;Claudia Zapata;;INHABILITAR
NUIP;;2042468632;;Patricia Bonilla;;EMBARGAR
RC;;2013735110;;Victor Castaño;;EMBARGAR
CC;;2037590921;;Oscar Robledo;;EMBARGAR
CC;;2015175145;;Paola Paredes;;EMBARGAR
CC;;2007970757;;Diego Montoya;;INHABILITAR
CE;;2070913693;;Ricardo Robledo;;EMBARGAR
NUIP;;2015365253;;Angela Rodriguez;;INHABILITAR
TI;;2026283686;;Veronica Molina;;EMBARGAR
TI;;2093983137;;Alicia Rios;;EMBARGAR
CE;;2024049227;;Cristian Rios;;EMBARGAR
CE;;2036619598;;Alfredo Martinez;;INHABILITAR
CC;;2009181615;;Eduardo Gutierrez;;EMBARGAR
NUIP;;2023856643;;Luisa Lopez;;EMBARGAR
RC;;2043458445;;Valentina Quiroz;;EMBARGAR
CC;;2063595869;;Sandra Giraldo;;INHABILITAR
NUIP;;2047555296;;Gabriel Bonilla;;EMBARGAR
TI;;2071497601;;Tatiana Ramirez;;INHABILITAR
CC;;2032897732;;Gabriel Cardenas;;INHABILITAR
TI;;2037227597;;Hernan Cabrera;;INHABILITAR
CE;;2019086682;;Teresa Bautista;;INHABILITAR
TI;;2053549626;;Roberto Duarte;;INHABILITAR
TI;;2062812183;;Mauricio Fernandez;;INHABILITAR
TI;;2054908345;;Paula Beltran;;EMBARGAR
CC;;2038690291;;Adriana Herrera;;INHABILITAR
RC;;2012714311;;Angela Ortiz;;EMBARGAR
RC;;2030321956;;Eduardo Castro;;EMBARGAR
NUIP;;2079975273;;Veronica Ramirez;;EMBARGAR
CE;;2024877635;;Samuel Cabrera;;EMBARGAR
CE;;2012409183;;Fernando Bautista;;INHABILITAR
NUIP;;2039247051;;Adriana Quiroz;;INHABILITAR
CE;;2017703378;;Hector Martinez;;INHABILITAR
CC;;2030648551;;Luisa Munoz;;INHABILITAR
CE;;2025127624;;Diana Rojas;;INHABILITAR
CE;;2044165172;;Jorge Ospina;;INHABILITAR
CC;;2029358309;;Ricardo Aguilar;;EMBARGAR
NUIP;;2022031099;;Julia Fernandez;;INHABILITAR
RC;;2050277688;;Angela Paredes;;INHABILITAR
CE;;2038580650;;Alonso Diaz;;EMBARGAR
NUIP;;2008852642;;Ana Diaz;;EMBARGAR
CC;;2017641285;;Paola Mendez;;INHABILITAR
NUIP;;2090479678;;Marcela Montoya;;EMBARGAR
RC;;2047255293;;Ricardo Diaz;;INHABILITAR
CE;;2027896141;;Violeta Sanchez;;INHABILITAR
NUIP;;2047178882;;Tatiana Castaño;;EMBARGAR
CC;;2008246906;;Teresa Cardenas;;INHABILITAR
TI;;2004711040;;Mauricio Aguilar;;EMBARGAR
TI;;2037167922;;Liliana Castillo;;EMBARGAR
TI;;2075396498;;Marcela Ramirez;;EMBARGAR
TI;;2016925029;;Teresa Mendez;;EMBARGAR
NUIP;;2045555820;;Luis Fernandez;;INHABILITAR
CC;;2007712272;;Fernando Ortiz;;INHABILITAR
CC;;2072433974;;Victor Cano;;EMBARGAR
CE;;2072946286;;Samuel Ramirez;;INHABILITAR
RC;;2085449564;;Lucrecia Martinez;;EMBARGAR
CC;;2062150034;;Jose Munoz;;EMBARGAR
NUIP;;2086152676;;Ricardo Moreno;;EMBARGAR
CC;;2029751627;;Sebastian Franco;;INHABILITAR
NUIP;;2098046374;;Samuel Gutierrez;;INHABILITAR
CC;;2065758362;;Gabriel Montoya;;INHABILITAR
CE;;2022845448;;Cristian Herrera;;INHABILITAR
CC;;2070097263;;Luis Sanchez;;INHABILITAR
NUIP;;2057239877;;Claudia Paredes;;INHABILITAR
RC;;2001051797;;Alonso Rios;;EMBARGAR
RC;;2060353105;;Luis Hernandez;;EMBARGAR
RC;;2089367869;;Nathalia Beltran;;EMBARGAR
TI;;2094063651;;Beatriz Molina;;INHABILITAR
CE;;2010180294;;Victor Rojas;;INHABILITAR
NUIP;;2025227505;;Rosa Castro;;EMBARGAR
CC;;2023549877;;Luisa Ruiz;;INHABILITAR
TI;;2089075615;;Manuel Torres;;INHABILITAR
NUIP;;2068505599;;Luis Prieto;;EMBARGAR
NUIP;;2032618688;;Laura Salazar;;EMBARGAR
CC;;2059059053;;Juan Giraldo;;EMBARGAR
CC;;2000787423;;Nathalia Hernandez;;INHABILITAR
TI;;2062226943;;Raquel Jimenez;;EMBARGAR
RC;;2057708665;;Esteban Ruiz;;INHABILITAR
RC;;2015195115;;Teresa Ramirez;;EMBARGAR
CE;;2080814542;;Rosa Aguilar;;INHABILITAR
CE;;2051005204;;Ricardo Montoya;;EMBARGAR
NUIP;;2010414125;;Marta Gomez;;EMBARGAR
RC;;2073917430;;Claudia Moreno;;INHABILITAR
TI;;2084488794;;Felipe Ortiz;;EMBARGAR
NUIP;;2096902852;;Jorge Herrera;;EMBARGAR
NUIP;;2062479560;;Teresa Moreno;;INHABILITAR
NUIP;;2003204741;;Juan Ramirez;;EMBARGAR
NUIP;;2070012769;;Sandra Molina;;INHABILITAR
CE;;2070841703;;Catalina Giraldo;;EMBARGAR
RC;;2072278048;;Luisa Zapata;;EMBARGAR
TI;;2096713729;;Hernan Mendez;;EMBARGAR
TI;;2077697540;;Cristian Castro;;INHABILITAR
