nombre;;apellido;;edad;;salario
Esteban;;Morales;;33;;2600000
Claudia;;Castañeda;;41;;3200000
Oscar;;Márquez;;38;;2950000
Mariana;;Salinas;;27;;1800000
Fernando;;Garzón;;45;;3600000
Luisa;;Romero;;29;;2100000
Javier;;Hernández;;40;;3150000
Natalia;;Jiménez;;36;;2800000
Carlos;;Pérez;;42;;3300000
Viviana;;Cárdenas;;30;;2250000
Raúl;;Moreno;;47;;3750000
Adriana;;Villalba;;28;;1950000
Gustavo;;Ríos;;51;;4200000
Paula;;Arango;;34;;2500000
Sergio;;González;;26;;1700000
Angela;;Castillo;;46;;3550000
Juan José;;López;;39;;3100000
Isabel;;Martínez;;35;;2650000
Jorge;;Ospina;;52;;4800000
Andrea;;Gómez;;37;;3000000
Tomás;;Quintero;;31;;2400000
Clara;;Rivera;;50;;4450000
Cristian;;Salazar;;29;;2000000
Patricia;;Ramírez;;43;;3400000
Sebastián;;Uribe;;33;;2700000
Marcela;;Torres;;32;;2450000
Mauricio;;Vargas;;44;;3450000
Laura;;Londoño;;48;;3700000
Pedro;;Cruz;;27;;1850000
Liliana;;Roldán;;40;;3150000
David;;Sánchez;;53;;4900000
Camilo;;Valencia;;36;;2750000
Tatiana;;Franco;;39;;3050000
Germán;;Rojas;;28;;1950000
Diana;;Rodríguez;;31;;2300000
Rafael;;Castaño;;49;;3850000
Verónica;;Quintana;;30;;2250000
Samuel;;Bermúdez;;50;;4500000
Sandra;;Pineda;;42;;3300000
Luis;;Navarro;;34;;2550000
Claudia;;Arboleda;;46;;3650000
Fabio;;Montoya;;29;;1900000
Rosa;;Medina;;38;;2850000
Manuel;;Zapata;;37;;2750000
Catalina;;Mendoza;;35;;2650000
Oscar;;Guerrero;;47;;3800000
Gloria;;Álvarez;;54;;5100000
Juan Manuel;;Camacho;;33;;2600000
Karina;;Suárez;;41;;3200000
Julio;;Osorio;;44;;3400000
Susana;;Buitrago;;32;;2500000
Ramiro;;Mesa;;40;;3100000
Mónica;;Espinosa;;43;;3350000
Álvaro;;Betancur;;36;;2800000
Nancy;;Muñoz;;45;;3450000
Alejandro;;Molina;;31;;2350000
Sofía;;Gutiérrez;;30;;2200000
Mario;;Peña;;50;;4500000
Ana;;Orozco;;27;;1850000
Daniel;;Salinas;;39;;3100000
Sara;;Garzón;;29;;1950000
Hernando;;Lara;;46;;3500000
Liliana;;Lozano;;48;;3750000
Fabián;;Parra;;34;;2650000
Elena;;Barrera;;51;;4300000
Diego;;Echeverri;;33;;2550000
Lorena;;Vélez;;37;;2900000
Miguel;;Patiño;;38;;3050000
Lucía;;Ruiz;;41;;3200000
Javier;;Alzate;;28;;2050000
Estefanía;;Duque;;30;;2250000
Camila;;Vargas;;35;;2700000
Rodolfo;;León;;49;;3900000
Andrea;;Arévalo;;40;;3100000
Roberto;;Valencia;;47;;3600000
Jessica;;Ortega;;39;;2950000
Edgar;;Cardona;;45;;3450000
Paula;;Tobón;;31;;2300000
Wilson;;Morales;;34;;2600000
Lina;;Ramírez;;50;;4550000
Ricardo;;Ocampo;;29;;2000000
Daniela;;Mesa;;28;;2100000
Héctor;;Escobar;;46;;3550000
Ángela;;Duarte;;44;;3350000
Jaime;;González;;32;;2450000
Clara;;Gómez;;53;;4950000
David;;Ramos;;37;;2750000
Fanny;;Villalba;;35;;2600000
Henry;;Zapata;;40;;3150000
Adriana;;Marín;;42;;3300000
Fernando;;Reyes;;31;;2350000
Patricia;;Bermúdez;;36;;2750000
Oscar;;Galindo;;33;;2550000
Beatriz;;Martínez;;48;;3700000
Camilo;;López;;26;;1700000
María;;Pérez;;52;;4900000
Carlos;;Herrera;;30;;2250000
Valentina;;Lagos;;34;;2650000
Emanuel;;Rodríguez;;47;;3600000
Elsa;;Rubio;;45;;3450000
Luis;;Villalobos;;39;;3100000
Carmen;;García;;51;;4200000
