tipo_documento;;documento;;nombre_completo;;caracterizacion
RC;;2066342973;;Gabriel Torres;;EMBARGAR
RC;;2050275359;;Fernando Vega;;EMBARGAR
TI;;2013142962;;Gustavo Moreno;;EMBARGAR
CE;;2082700276;;Ana Salazar;;EMBARGAR
CC;;2060779195;;Victor Bonilla;;INHABILITAR
NUIP;;2002418040;;Marta Castillo;;EMBARGAR
TI;;2081230869;;Gloria Herrera;;EMBARGAR
TI;;2015724916;;Javier Rodriguez;;EMBARGAR
CC;;2014021496;;Sandra Ruiz;;INHABILITAR
RC;;2069642691;;Beatriz Beltran;;EMBARGAR
CE;;2099914458;;Paula Velasquez;;INHABILITAR
CC;;2034511651;;Gabriela Munoz;;INHABILITAR
CE;;2057626245;;Manuel Torres;;INHABILITAR
NUIP;;2075735789;;Valentina Moreno;;INHABILITAR
NUIP;;2038087045;;Rafael Valencia;;EMBARGAR
RC;;2052831499;;Diego Gutierrez;;EMBARGAR
NUIP;;2073411035;;Laura Mendez;;INHABILITAR
NUIP;;2022380464;;Manuel Hernandez;;INHABILITAR
NUIP;;2078113931;;Nathalia Rojas;;EMBARGAR
TI;;2028117346;;Marta Vargas;;INHABILITAR
TI;;2058750975;;Victor Fernandez;;INHABILITAR
RC;;2011264740;;Alfredo Duarte;;EMBARGAR
NUIP;;2078025622;;Santiago Arias;;INHABILITAR
CE;;2056069410;;Silvia Martinez;;INHABILITAR
CC;;2035517113;;Monica Diaz;;EMBARGAR
NUIP;;2062538085;;Paula Ramirez;;INHABILITAR
RC;;2009336357;;Claudia Robledo;;EMBARGAR
TI;;2097370140;;Raquel Castro;;INHABILITAR
TI;;2088688946;;Ricardo Sanchez;;EMBARGAR
TI;;2001553868;;Catalina Bonilla;;EMBARGAR
CC;;2004851947;;Catalina Jaramillo;;INHABILITAR
CC;;2065373082;;Ana Cabrera;;EMBARGAR
CE;;2030717901;;Gloria Castro;;EMBARGAR
CE;;2090631413;;Alicia Aguilar;;EMBARGAR
CE;;2059275593;;Samuel Salazar;;EMBARGAR
RC;;2022885296;;Eduardo Valencia;;EMBARGAR
CC;;2068338679;;Rafael Castro;;EMBARGAR
RC;;2041062829;;Valentina Prieto;;EMBARGAR
CC;;2043954691;;Rodrigo Rios;;EMBARGAR
NUIP;;2044262320;;Felipe Ortiz;;EMBARGAR
CC;;2051224508;;Eduardo Lopez;;INHABILITAR
RC;;2014120151;;Liliana Bautista;;EMBARGAR
TI;;2017725379;;Camila Ospina;;INHABILITAR
RC;;2039759115;;Diana Bautista;;INHABILITAR
CC;;2071073204;;Marta Jaramillo;;INHABILITAR
CE;;2046840539;;Felipe Murillo;;EMBARGAR
TI;;2087138491;;Paola Gutierrez;;INHABILITAR
NUIP;;2028214812;;Jorge Salazar;;EMBARGAR
CE;;2051998007;;Ivan Cardenas;;EMBARGAR
CE;;2048798326;;Laura Jaramillo;;INHABILITAR
NUIP;;2004961767;;Liliana Ortiz;;INHABILITAR
RC;;2047425666;;Cristian Vega;;EMBARGAR
