tipo_documento;;documento;;nombre_completo;;caracterizacion
CE;;2036195006;;Hector Jimenez;;EMBARGAR
CE;;2073052003;;Juan Diaz;;INHABILITAR
TI;;2065980179;;Mariana Fernandez;;INHABILITAR
RC;;2045742962;;Gloria Lopez;;EMBARGAR
NUIP;;2098847582;;Eduardo Castaño;;INHABILITAR
NUIP;;2094303713;;Luisa Aguilar;;INHABILITAR
CE;;2051982729;;Gloria Prieto;;EMBARGAR
NUIP;;2023456204;;Oscar Prieto;;INHABILITAR
RC;;2052932343;;Gloria Vega;;INHABILITAR
TI;;2011208594;;Violeta Murillo;;EMBARGAR
CE;;2029418162;;Sandra Herrera;;INHABILITAR
NUIP;;2077153438;;Alfredo Molina;;INHABILITAR
NUIP;;2005416029;;Javier Mejia;;EMBARGAR
TI;;2005894134;;Rafael Vega;;EMBARGAR
CC;;2058126806;;Rafael Cano;;EMBARGAR
RC;;2048599205;;Carlos Giraldo;;EMBARGAR
NUIP;;2099721800;;Alicia Gutierrez;;INHABILITAR
TI;;2003791368;;Silvia Murillo;;EMBARGAR
RC;;2011477277;;Laura Diaz;;INHABILITAR
CE;;2065563599;;Teresa Paredes;;INHABILITAR
NUIP;;2011812044;;Valentina Ospina;;EMBARGAR
CC;;2039479873;;Fernando Vega;;INHABILITAR
NUIP;;2048796739;;Felipe Castro;;INHABILITAR
CE;;2048090168;;Alfredo Prieto;;INHABILITAR
CE;;2090063670;;Silvia Diaz;;INHABILITAR
NUIP;;2042715954;;Jorge Bonilla;;INHABILITAR
CE;;2006367716;;Beatriz Rojas;;EMBARGAR
RC;;2078864085;;Jorge Vega;;EMBARGAR
TI;;2094699011;;Esteban Paredes;;EMBARGAR
TI;;2069922538;;Alonso Arias;;EMBARGAR
NUIP;;2029700581;;Ricardo Lopez;;INHABILITAR
RC;;2032204146;;Cesar Beltran;;INHABILITAR
NUIP;;2020794287;;Luisa Ospina;;EMBARGAR
RC;;2050138525;;Carmen Montoya;;INHABILITAR
NUIP;;2003790495;;Alonso Cardenas;;EMBARGAR
CC;;2011724645;;Gustavo Sanchez;;INHABILITAR
RC;;2038651283;;Manuel Moreno;;EMBARGAR
CC;;2005387057;;Claudia Rodriguez;;INHABILITAR
NUIP;;2095267907;;Eduardo Moreno;;EMBARGAR
CC;;2089602201;;Ivan Castaño;;EMBARGAR
CE;;2006776492;;Felipe Castillo;;INHABILITAR
CC;;2052786244;;Luisa Castro;;INHABILITAR
RC;;2056927274;;Julia Fernandez;;INHABILITAR
RC;;2081060105;;Roberto Giraldo;;EMBARGAR
RC;;2053102278;;Eduardo Gutierrez;;INHABILITAR
NUIP;;2028176304;;Javier Mejia;;EMBARGAR
TI;;2013389156;;Samuel Vega;;INHABILITAR
CE;;2074154524;;Hector Vargas;;INHABILITAR
TI;;2023710560;;Luis Moreno;;EMBARGAR
RC;;2041248788;;Patricia Torres;;INHABILITAR
TI;;2059604112;;Felipe Bonilla;;INHABILITAR
RC;;2048217629;;Miguel Moreno;;EMBARGAR
CC;;2073881338;;Patricia Rios;;EMBARGAR
TI;;2075478392;;Diego Cano;;EMBARGAR
NUIP;;2036252474;;Paula Quiroz;;EMBARGAR
RC;;2035408861;;Gustavo Robledo;;INHABILITAR
TI;;2022537622;;Felipe Cano;;INHABILITAR
NUIP;;2049473593;;Diana Vega;;EMBARGAR
NUIP;;2056307968;;Felipe Giraldo;;EMBARGAR
CE;;2050717329;;Julia Rojas;;EMBARGAR
CE;;2007060991;;Eduardo Quiroz;;EMBARGAR
CC;;2086538252;;Nathalia Prieto;;INHABILITAR
TI;;2014634368;;Hernan Giraldo;;EMBARGAR
CE;;2022509818;;Carmen Lopez;;EMBARGAR
NUIP;;2078270728;;Gabriela Arias;;INHABILITAR
TI;;2064253212;;Rafael Moreno;;INHABILITAR
RC;;2068725312;;Marta Gallego;;INHABILITAR
RC;;2035780231;;Victor Acosta;;INHABILITAR
NUIP;;2002172612;;Carlos Jimenez;;EMBARGAR
RC;;2090698667;;Carmen Moreno;;EMBARGAR
CC;;2081500567;;Hector Torres;;EMBARGAR
RC;;2024876369;;Manuel Moreno;;INHABILITAR
CE;;2073882405;;Adriana Murillo;;INHABILITAR
TI;;2092273393;;Cesar Castillo;;INHABILITAR
CC;;2025910045;;Jorge Franco;;INHABILITAR
CC;;2099022625;;Luis Ortiz;;EMBARGAR
CC;;2047042055;;Lucrecia Valencia;;INHABILITAR
RC;;2076105033;;Paola Aguilar;;INHABILITAR
CE;;2099747407;;Felipe Lopez;;EMBARGAR
RC;;2050358655;;Teresa Sanchez;;INHABILITAR
CC;;2053699106;;Victor Robledo;;EMBARGAR
RC;;2071724180;;Marta Ruiz;;INHABILITAR
RC;;2028498921;;Jorge Bautista;;EMBARGAR
CE;;2025552589;;Oscar Ortiz;;INHABILITAR
TI;;2035005033;;Victor Cano;;EMBARGAR
CE;;2041997140;;Cristian Mejia;;EMBARGAR
CC;;2085025549;;Camila Castaño;;EMBARGAR
NUIP;;2084844172;;Gabriela Gutierrez;;EMBARGAR
RC;;2085240119;;Fernando Castillo;;EMBARGAR
CC;;2093697173;;Fernando Vega;;EMBARGAR
NUIP;;2091231938;;Alfredo Duarte;;INHABILITAR
NUIP;;2042851965;;Luis Fernandez;;INHABILITAR
RC;;2019653296;;Alonso Bonilla;;INHABILITAR
CE;;2011644220;;Julia Montoya;;EMBARGAR
CC;;2023024991;;Liliana Ramirez;;EMBARGAR
RC;;2066790940;;Teresa Franco;;EMBARGAR
NUIP;;2052642843;;Gabriel Ospina;;INHABILITAR
CE;;2092329059;;Silvia Duarte;;EMBARGAR
NUIP;;2026982359;;Laura Castro;;EMBARGAR
NUIP;;2021177611;;Miguel Castro;;INHABILITAR
